Gene_ID,Status_and_Symbol,Has_GO_Term?,GO_Term_Count,GO_IDs
WBGene00000052,Dead | N/A,No,0,
WBGene00001472,Dead | N/A,No,0,
WBGene00001504,Dead | N/A,No,0,
WBGene00001524,Dead | N/A,No,0,
WBGene00001525,Dead | N/A,No,0,
WBGene00001567,Dead | N/A,No,0,
WBGene00001573,Dead | N/A,No,0,
WBGene00001610,Dead | N/A,No,0,
WBGene00001611,Dead | N/A,No,0,
WBGene00001634,Dead | N/A,No,0,
WBGene00001797,Dead | N/A,No,0,
WBGene00001822,Dead | N/A,No,0,
WBGene00001868,Dead | N/A,No,0,
WBGene00001873,Dead | N/A,No,0,
WBGene00001897,Dead | N/A,No,0,
WBGene00002014,Dead | N/A,No,0,
WBGene00002022,Dead | N/A,No,0,
WBGene00002122,Dead | N/A,No,0,
WBGene00002126,Dead | N/A,No,0,
WBGene00002154,Dead | N/A,No,0,
WBGene00002155,Dead | N/A,No,0,
WBGene00002156,Dead | N/A,No,0,
WBGene00002157,Dead | N/A,No,0,
WBGene00002158,Dead | N/A,No,0,
WBGene00002159,Dead | N/A,No,0,
WBGene00002160,Dead | N/A,No,0,
WBGene00002161,Dead | N/A,No,0,
WBGene00002164,Dead | N/A,No,0,
WBGene00002165,Dead | N/A,No,0,
WBGene00002166,Dead | N/A,No,0,
WBGene00002167,Dead | N/A,No,0,
WBGene00002168,Dead | N/A,No,0,
WBGene00002170,Dead | N/A,No,0,
WBGene00002171,Dead | N/A,No,0,
WBGene00002172,Dead | N/A,No,0,
WBGene00002236,Dead | N/A,No,0,
WBGene00002237,Dead | N/A,No,0,
WBGene00002277,Dead | N/A,No,0,
WBGene00002317,Dead | N/A,No,0,
WBGene00002339,Dead | N/A,No,0,
WBGene00002370,Dead | N/A,No,0,
WBGene00002372,Dead | N/A,No,0,
WBGene00002373,Dead | N/A,No,0,
WBGene00002377,Dead | N/A,No,0,
WBGene00002398,Dead | N/A,No,0,
WBGene00002416,Dead | N/A,No,0,
WBGene00002421,Dead | N/A,No,0,
WBGene00002554,Dead | ,No,0,
WBGene00002576,Dead | N/A,No,0,
WBGene00002582,Dead | N/A,No,0,
WBGene00002584,Dead | N/A,No,0,
WBGene00002585,Dead | N/A,No,0,
WBGene00002586,Dead | N/A,No,0,
WBGene00002588,Dead | N/A,No,0,
WBGene00002590,Dead | N/A,No,0,
WBGene00002597,Dead | N/A,No,0,
WBGene00002598,Dead | N/A,No,0,
WBGene00002599,Dead | N/A,No,0,
WBGene00002600,Dead | N/A,No,0,
WBGene00002602,Dead | N/A,No,0,
WBGene00002603,Dead | N/A,No,0,
WBGene00002604,Dead | N/A,No,0,
WBGene00002605,Dead | N/A,No,0,
WBGene00002606,Dead | N/A,No,0,
WBGene00002609,Dead | N/A,No,0,
WBGene00002611,Dead | N/A,No,0,
WBGene00002616,Dead | N/A,No,0,
WBGene00002617,Dead | N/A,No,0,
WBGene00002620,Dead | N/A,No,0,
WBGene00002674,Dead | N/A,No,0,
WBGene00002695,Dead | N/A,No,0,
WBGene00002701,Dead | N/A,No,0,
WBGene00002708,Dead | N/A,No,0,
WBGene00002710,Dead | N/A,No,0,
WBGene00002713,Dead | N/A,No,0,
WBGene00002718,Dead | N/A,No,0,
WBGene00002720,Dead | N/A,No,0,
WBGene00002722,Dead | N/A,No,0,
WBGene00002725,Dead | N/A,No,0,
WBGene00002754,Dead | N/A,No,0,
WBGene00002755,Dead | N/A,No,0,
WBGene00002760,Dead | N/A,No,0,
WBGene00002764,Dead | N/A,No,0,
WBGene00002772,Dead | N/A,No,0,
WBGene00002773,Dead | N/A,No,0,
WBGene00002774,Dead | N/A,No,0,
WBGene00002775,Dead | N/A,No,0,
WBGene00002777,Dead | N/A,No,0,
WBGene00002779,Dead | N/A,No,0,
WBGene00002780,Dead | N/A,No,0,
WBGene00002781,Dead | N/A,No,0,
WBGene00002782,Dead | N/A,No,0,
WBGene00002784,Dead | N/A,No,0,
WBGene00002787,Dead | N/A,No,0,
WBGene00002788,Dead | N/A,No,0,
WBGene00002805,Dead | N/A,No,0,
WBGene00002820,Dead | N/A,No,0,
WBGene00002995,Dead | N/A,No,0,
WBGene00003023,Dead | N/A,No,0,
WBGene00003027,Dead | N/A,No,0,
WBGene00003113,Dead | N/A,No,0,
WBGene00003118,Dead | N/A,No,0,
WBGene00003120,Dead | N/A,No,0,
WBGene00003125,Dead | N/A,No,0,
WBGene00003126,Dead | N/A,No,0,
WBGene00003127,Dead | N/A,No,0,
WBGene00003152,Dead | N/A,No,0,
WBGene00003188,Dead | N/A,No,0,
WBGene00003200,Dead | N/A,No,0,
WBGene00003255,Dead | N/A,No,0,
WBGene00003276,Dead | N/A,No,0,
WBGene00003320,Dead | N/A,No,0,
WBGene00003383,Dead | N/A,No,0,
WBGene00003505,Dead | N/A,No,0,
WBGene00003512,Dead | N/A,No,0,
WBGene00003513,Dead | N/A,No,0,
WBGene00003557,Dead | N/A,No,0,
WBGene00003631,Dead | N/A,No,0,
WBGene00003666,Dead | N/A,No,0,
WBGene00003737,Dead | N/A,No,0,
WBGene00003781,Dead | N/A,No,0,
WBGene00003782,Dead | N/A,No,0,
WBGene00003817,Dead | N/A,No,0,
WBGene00003819,Dead | N/A,No,0,
WBGene00003820,Dead | N/A,No,0,
WBGene00003823,Dead | N/A,No,0,
WBGene00003824,Dead | N/A,No,0,
WBGene00003855,Dead | N/A,No,0,
WBGene00003871,Dead | N/A,No,0,
WBGene00003872,Dead | N/A,No,0,
WBGene00003873,Dead | N/A,No,0,
WBGene00003874,Dead | N/A,No,0,
WBGene00003875,Dead | N/A,No,0,
WBGene00003944,Dead | N/A,No,0,
WBGene00003945,Dead | N/A,No,0,
WBGene00004018,Dead | N/A,No,0,
WBGene00004065,Dead | N/A,No,0,
WBGene00004067,Dead | N/A,No,0,
WBGene00004069,Dead | N/A,No,0,
WBGene00004097,Dead | ,No,0,
WBGene00004137,Dead | N/A,No,0,
WBGene00004142,Dead | N/A,No,0,
WBGene00004162,Dead | N/A,No,0,
WBGene00004260,Dead | N/A,No,0,
WBGene00004262,Dead | N/A,No,0,
WBGene00004263,Dead | N/A,No,0,
WBGene00004280,Dead | N/A,No,0,
WBGene00004288,Dead | N/A,No,0,
WBGene00004289,Dead | N/A,No,0,
WBGene00004290,Dead | N/A,No,0,
WBGene00004292,Dead | N/A,No,0,
WBGene00004294,Dead | N/A,No,0,
WBGene00004325,Dead | N/A,No,0,
WBGene00004327,Dead | N/A,No,0,
WBGene00004329,Dead | N/A,No,0,
WBGene00004366,Dead | N/A,No,0,
WBGene00004376,Dead | N/A,No,0,
WBGene00004379,Dead | N/A,No,0,
WBGene00004396,Dead | N/A,No,0,
WBGene00004500,Dead | N/A,No,0,
WBGene00004707,Dead | N/A,No,0,
WBGene00004720,Dead | N/A,No,0,
WBGene00004722,Dead | N/A,No,0,
WBGene00004724,Dead | N/A,No,0,
WBGene00004733,Dead | N/A,No,0,
WBGene00004757,Dead | N/A,No,0,
WBGene00004763,Dead | N/A,No,0,
WBGene00004797,Dead | N/A,No,0,
WBGene00004852,Dead | N/A,No,0,
WBGene00004853,Dead | N/A,No,0,
WBGene00004863,Dead | N/A,No,0,
WBGene00004934,Dead | N/A,No,0,
WBGene00004948,Dead | N/A,No,0,
WBGene00004982,Dead | N/A,No,0,
WBGene00004983,Dead | N/A,No,0,
WBGene00005152,Dead | ,No,0,
WBGene00005155,Dead | ,No,0,
WBGene00005209,Dead | ,No,0,
WBGene00005645,Dead | N/A,No,0,
WBGene00006030,Dead | N/A,No,0,
WBGene00006031,Dead | N/A,No,0,
WBGene00006032,Dead | N/A,No,0,
WBGene00006033,Dead | N/A,No,0,
WBGene00006034,Dead | N/A,No,0,
WBGene00006035,Dead | N/A,No,0,
WBGene00006036,Dead | N/A,No,0,
WBGene00006037,Dead | N/A,No,0,
WBGene00006041,Dead | N/A,No,0,
WBGene00006042,Dead | N/A,No,0,
WBGene00006043,Dead | N/A,No,0,
WBGene00006045,Dead | N/A,No,0,
WBGene00006046,Dead | N/A,No,0,
WBGene00006303,Dead | N/A,No,0,
WBGene00006312,Dead | N/A,No,0,
WBGene00006317,Dead | N/A,No,0,
WBGene00006325,Dead | N/A,No,0,
WBGene00006340,Dead | N/A,No,0,
WBGene00006341,Dead | N/A,No,0,
WBGene00006343,Dead | N/A,No,0,
WBGene00006370,Dead | N/A,No,0,
WBGene00006398,Dead | N/A,No,0,
WBGene00006400,Dead | N/A,No,0,
WBGene00006401,Dead | N/A,No,0,
WBGene00006403,Dead | N/A,No,0,
WBGene00006413,Dead | N/A,No,0,
WBGene00006417,Dead | N/A,No,0,
WBGene00006420,Dead | N/A,No,0,
WBGene00006421,Dead | N/A,No,0,
WBGene00006422,Dead | N/A,No,0,
WBGene00006425,Dead | N/A,No,0,
WBGene00006426,Dead | N/A,No,0,
WBGene00006427,Dead | N/A,No,0,
WBGene00006451,Dead | N/A,No,0,
WBGene00006453,Dead | N/A,No,0,
WBGene00006455,Dead | N/A,No,0,
WBGene00006456,Dead | N/A,No,0,
WBGene00006457,Dead | N/A,No,0,
WBGene00006458,Dead | N/A,No,0,
WBGene00006469,Dead | N/A,No,0,
WBGene00006480,Dead | N/A,No,0,
WBGene00006482,Dead | N/A,No,0,
WBGene00006485,Dead | N/A,No,0,
WBGene00006500,Dead | N/A,No,0,
WBGene00006501,Dead | N/A,No,0,
WBGene00006502,Dead | N/A,No,0,
WBGene00006506,Dead | N/A,No,0,
WBGene00006507,Dead | N/A,No,0,
WBGene00006511,Dead | N/A,No,0,
WBGene00006521,Dead | N/A,No,0,
WBGene00006548,Dead | N/A,No,0,
WBGene00006564,Dead | N/A,No,0,
WBGene00006581,Dead | N/A,No,0,
WBGene00006800,Dead | N/A,No,0,
WBGene00006813,Dead | N/A,No,0,
WBGene00006834,Dead | N/A,No,0,
WBGene00006847,Dead | N/A,No,0,
WBGene00006855,Dead | N/A,No,0,
WBGene00006879,Dead | N/A,No,0,
WBGene00006898,Dead | N/A,No,0,
WBGene00006899,Dead | N/A,No,0,
WBGene00006900,Dead | N/A,No,0,
WBGene00006909,Dead | N/A,No,0,
WBGene00006969,Dead | N/A,No,0,
WBGene00006989,Dead | N/A,No,0,
WBGene00007037,Dead | N/A,No,0,
WBGene00007040,Dead | N/A,No,0,
WBGene00007046,Dead | N/A,No,0,
WBGene00007051,Dead | N/A,No,0,
WBGene00007052,Dead | N/A,No,0,
WBGene00007061,Dead | N/A,No,0,
WBGene00007069,Dead | N/A,No,0,
WBGene00007084,Dead | N/A,No,0,
WBGene00007086,Dead | N/A,No,0,
WBGene00007095,Dead | N/A,No,0,
WBGene00007098,Dead | N/A,No,0,
WBGene00007157,Dead | N/A,No,0,
WBGene00007205,Suppressed | B0564.5,No,0,
WBGene00007263,Dead | N/A,No,0,
WBGene00007272,Dead | N/A,No,0,
WBGene00007276,Dead | N/A,No,0,
WBGene00007280,Suppressed | C03E10.2,No,0,
WBGene00007298,Suppressed | C04F12.2,No,0,
WBGene00007318,Dead | ,No,0,
WBGene00007371,Suppressed | C06B8.5,No,0,
WBGene00007477,Dead | N/A,No,0,
WBGene00007491,Dead | N/A,No,0,
WBGene00007498,Dead | N/A,No,0,
WBGene00007501,Dead | C09H10.7,No,0,
WBGene00007510,Dead | N/A,No,0,
WBGene00007519,Dead | N/A,No,0,
WBGene00007524,Dead | N/A,No,0,
WBGene00007526,Dead | N/A,No,0,
WBGene00007527,Dead | N/A,No,0,
WBGene00007532,Dead | N/A,No,0,
WBGene00007566,Dead | N/A,No,0,
WBGene00007568,Suppressed | C14A6.4,No,0,
WBGene00007575,Dead | N/A,No,0,
WBGene00007582,Dead | N/A,No,0,
WBGene00007596,Dead | N/A,No,0,
WBGene00007612,Dead | N/A,No,0,
WBGene00007634,Dead | N/A,No,0,
WBGene00007636,Dead | N/A,No,0,
WBGene00007663,Dead | N/A,No,0,
WBGene00007665,Dead | N/A,No,0,
WBGene00007671,Dead | N/A,No,0,
WBGene00007706,Dead | N/A,No,0,
WBGene00007737,Dead | N/A,No,0,
WBGene00007738,Dead | N/A,No,0,
WBGene00007781,Suppressed | C27H2.1,No,0,
WBGene00007782,Dead | N/A,No,0,
WBGene00007783,Dead | N/A,No,0,
WBGene00007790,Dead | N/A,No,0,
WBGene00007803,Suppressed | C29E6.6,No,0,
WBGene00007814,Dead | N/A,No,0,
WBGene00007815,Dead | ,No,0,
WBGene00007828,Dead | N/A,No,0,
WBGene00007830,Suppressed | C31A11.2,No,0,
WBGene00007839,Suppressed | C31C9.5,No,0,
WBGene00007843,Suppressed | C31E10.2,No,0,
WBGene00007845,Dead | N/A,No,0,
WBGene00007879,Dead | N/A,No,0,
WBGene00007884,Suppressed | C33A12.5,No,0,
WBGene00007915,Dead | N/A,No,0,
WBGene00007930,Dead | C34D1.2,No,0,
WBGene00007936,Dead | N/A,No,0,
WBGene00007940,Dead | N/A,No,0,
WBGene00007968,Suppressed | C36A4.7,No,0,
WBGene00008004,Dead | N/A,No,0,
WBGene00008011,Suppressed | C38D9.3,No,0,
WBGene00008046,Dead | N/A,No,0,
WBGene00008049,Dead | N/A,No,0,
WBGene00008103,Dead | N/A,No,0,
WBGene00008108,Dead | N/A,No,0,
WBGene00008109,Dead | N/A,No,0,
WBGene00008115,Dead | N/A,No,0,
WBGene00008116,Dead | N/A,No,0,
WBGene00008181,Dead | N/A,No,0,
WBGene00008182,Dead | N/A,No,0,
WBGene00008189,Suppressed | C49A1.8,No,0,
WBGene00008264,Dead | N/A,No,0,
WBGene00008276,Dead | N/A,No,0,
WBGene00008305,Dead | N/A,No,0,
WBGene00008329,Dead | N/A,No,0,
WBGene00008347,Dead | N/A,No,0,
WBGene00008391,Dead | N/A,No,0,
WBGene00008406,Dead | N/A,No,0,
WBGene00008416,Dead | N/A,No,0,
WBGene00008437,Dead | N/A,No,0,
WBGene00008445,Dead | N/A,No,0,
WBGene00008461,Dead | N/A,No,0,
WBGene00008466,Dead | N/A,No,0,
WBGene00008467,Dead | N/A,No,0,
WBGene00008469,Suppressed | E03H4.1,No,0,
WBGene00008525,Dead | N/A,No,0,
WBGene00008544,Dead | N/A,No,0,
WBGene00008562,Dead | N/A,No,0,
WBGene00008573,Dead | N/A,No,0,
WBGene00008608,Dead | N/A,No,0,
WBGene00008614,Suppressed | F09C3.6,No,0,
WBGene00008653,Dead | N/A,No,0,
WBGene00008668,Dead | N/A,No,0,
WBGene00008674,Dead | N/A,No,0,
WBGene00008689,Dead | N/A,No,0,
WBGene00008697,Suppressed | F11D11.2,No,0,
WBGene00008704,Suppressed | F11D11.9,No,0,
WBGene00008705,Dead | N/A,No,0,
WBGene00008715,Dead | N/A,No,0,
WBGene00008718,Dead | N/A,No,0,
WBGene00008721,Dead | N/A,No,0,
WBGene00008738,Dead | N/A,No,0,
WBGene00008756,Suppressed | F13E9.7,No,0,
WBGene00008771,Dead | N/A,No,0,
WBGene00008836,Suppressed | F15A2.7,No,0,
WBGene00008845,Dead | N/A,No,0,
WBGene00008846,Dead | N/A,No,0,
WBGene00008864,Suppressed | F15D4.7,No,0,
WBGene00008867,Dead | N/A,No,0,
WBGene00008888,Suppressed | F16D3.5,No,0,
WBGene00008895,Dead | N/A,No,0,
WBGene00008896,Dead | N/A,No,0,
WBGene00008913,Dead | N/A,No,0,
WBGene00008931,Dead | N/A,No,0,
WBGene00008938,Dead | N/A,No,0,
WBGene00008962,Dead | N/A,No,0,
WBGene00009003,Dead | N/A,No,0,
WBGene00009022,Dead | N/A,No,0,
WBGene00009034,Suppressed | F22B3.3,No,0,
WBGene00009037,Suppressed | F22B3.6,No,0,
WBGene00009040,Dead | N/A,No,0,
WBGene00009053,Dead | N/A,No,0,
WBGene00009062,Suppressed | F22G12.2,No,0,
WBGene00009066,Dead | N/A,No,0,
WBGene00009072,Suppressed | F23A7.7,No,0,
WBGene00009074,Dead | N/A,No,0,
WBGene00009080,Dead | N/A,No,0,
WBGene00009083,Dead | N/A,No,0,
WBGene00009105,Dead | N/A,No,0,
WBGene00009111,Dead | N/A,No,0,
WBGene00009175,Suppressed | F26H9.3,No,0,
WBGene00009181,Dead | N/A,No,0,
WBGene00009198,Dead | N/A,No,0,
WBGene00009199,Dead | N/A,No,0,
WBGene00009244,Dead | N/A,No,0,
WBGene00009253,Dead | N/A,No,0,
WBGene00009265,Suppressed | F30A10.7,No,0,
WBGene00009273,Suppressed | F30F8.4,No,0,
WBGene00009275,Dead | N/A,No,0,
WBGene00009282,Dead | N/A,No,0,
WBGene00009317,Dead | N/A,No,0,
WBGene00009348,Dead | N/A,No,0,
WBGene00009351,Dead | ,No,0,
WBGene00009376,Dead | N/A,No,0,
WBGene00009379,Dead | N/A,No,0,
WBGene00009407,Dead | N/A,No,0,
WBGene00009506,Dead | N/A,No,0,
WBGene00009516,Suppressed | F38A1.2,No,0,
WBGene00009545,Dead | N/A,No,0,
WBGene00009564,Dead | N/A,No,0,
WBGene00009591,Suppressed | F40F12.2,No,0,
WBGene00009655,Dead | N/A,No,0,
WBGene00009669,Suppressed | F43G9.7,No,0,
WBGene00009694,Dead | N/A,No,0,
WBGene00009699,Dead | N/A,No,0,
WBGene00009703,Suppressed | F44F4.8,No,0,
WBGene00009718,Dead | N/A,No,0,
WBGene00009719,Dead | N/A,No,0,
WBGene00009737,Dead | N/A,No,0,
WBGene00009792,Dead | N/A,No,0,
WBGene00009794,Dead | N/A,No,0,
WBGene00009795,Dead | N/A,No,0,
WBGene00009821,Suppressed | F47C8.1,No,0,
WBGene00009832,Suppressed | F47G9.5,No,0,
WBGene00009845,Dead | N/A,No,0,
WBGene00009847,Dead | N/A,No,0,
WBGene00009870,Suppressed | F49C5.8,No,0,
WBGene00009928,Dead | N/A,No,0,
WBGene00009932,Dead | N/A,No,0,
WBGene00009934,Dead | N/A,No,0,
WBGene00009970,Dead | N/A,No,0,
WBGene00009989,Dead | N/A,No,0,
WBGene00010029,Dead | N/A,No,0,
WBGene00010076,Dead | N/A,No,0,
WBGene00010078,Dead | N/A,No,0,
WBGene00010090,Dead | N/A,No,0,
WBGene00010151,Suppressed | F56D5.7,No,0,
WBGene00010154,Dead | N/A,No,0,
WBGene00010156,Dead | N/A,No,0,
WBGene00010164,Dead | F56H6.3,No,0,
WBGene00010190,Dead | N/A,No,0,
WBGene00010201,Dead | N/A,No,0,
WBGene00010207,Suppressed | F57G4.2,No,0,
WBGene00010208,Suppressed | F57G4.3,No,0,
WBGene00010210,Suppressed | F57G4.5,No,0,
WBGene00010211,Suppressed | F57G4.6,No,0,
WBGene00010213,Suppressed | F57G4.9,No,0,
WBGene00010252,Dead | N/A,No,0,
WBGene00010287,Dead | N/A,No,0,
WBGene00010302,Dead | N/A,No,0,
WBGene00010312,Dead | N/A,No,0,
WBGene00010346,Dead | ,No,0,
WBGene00010347,Dead | ,No,0,
WBGene00010384,Suppressed | H12D21.8,No,0,
WBGene00010393,Suppressed | H12I19.6,No,0,
WBGene00010398,Dead | N/A,No,0,
WBGene00010429,Dead | N/A,No,0,
WBGene00010438,Dead | N/A,No,0,
WBGene00010441,Dead | N/A,No,0,
WBGene00010443,Dead | N/A,No,0,
WBGene00010445,Dead | N/A,No,0,
WBGene00010452,Suppressed | K01A11.5,No,0,
WBGene00010462,Suppressed | K01D12.2,No,0,
WBGene00010482,Dead | N/A,No,0,
WBGene00010489,Suppressed | K02B7.1,No,0,
WBGene00010490,Suppressed | K02B7.2,No,0,
WBGene00010532,Suppressed | K03D3.6,No,0,
WBGene00010533,Suppressed | K03D3.8,No,0,
WBGene00010548,Dead | N/A,No,0,
WBGene00010549,Dead | N/A,No,0,
WBGene00010561,Dead | N/A,No,0,
WBGene00010668,Dead | N/A,No,0,
WBGene00010695,Dead | N/A,No,0,
WBGene00010696,Dead | N/A,No,0,
WBGene00010710,Dead | N/A,No,0,
WBGene00010729,Dead | N/A,No,0,
WBGene00010739,Dead | N/A,No,0,
WBGene00010751,Dead | N/A,No,0,
WBGene00010816,Dead | N/A,No,0,
WBGene00010826,Dead | N/A,No,0,
WBGene00010841,Dead | N/A,No,0,
WBGene00010852,Dead | N/A,No,0,
WBGene00010853,Suppressed | M04C7.2,No,0,
WBGene00010860,Dead | N/A,No,0,
WBGene00010861,Dead | N/A,No,0,
WBGene00010903,Dead | N/A,No,0,
WBGene00010914,Suppressed | M110.6,No,0,
WBGene00010997,Suppressed | R03G8.2,No,0,
WBGene00011031,Dead | N/A,No,0,
WBGene00011048,Suppressed | R06A4.3,No,0,
WBGene00011057,Dead | N/A,No,0,
WBGene00011080,Dead | ,No,0,
WBGene00011085,Dead | N/A,No,0,
WBGene00011086,Dead | N/A,No,0,
WBGene00011091,Dead | N/A,No,0,
WBGene00011118,Dead | N/A,No,0,
WBGene00011125,Suppressed | R07H5.5,No,0,
WBGene00011126,Suppressed | R07H5.6,No,0,
WBGene00011138,Dead | N/A,No,0,
WBGene00011148,Dead | ,No,0,
WBGene00011199,Dead | N/A,No,0,
WBGene00011204,Suppressed | R10E4.8,No,0,
WBGene00011233,Dead | N/A,No,0,
WBGene00011256,Dead | N/A,No,0,
WBGene00011301,Dead | N/A,No,0,
WBGene00011316,Dead | N/A,No,0,
WBGene00011332,Dead | N/A,No,0,
WBGene00011343,Dead | N/A,No,0,
WBGene00011347,Dead | N/A,No,0,
WBGene00011370,Suppressed | T02D1.1,No,0,
WBGene00011377,Dead | N/A,No,0,
WBGene00011384,Dead | N/A,No,0,
WBGene00011385,Dead | N/A,No,0,
WBGene00011406,Dead | N/A,No,0,
WBGene00011413,Dead | N/A,No,0,
WBGene00011455,Suppressed | T05A1.4,No,0,
WBGene00011457,Dead | N/A,No,0,
WBGene00011461,Dead | N/A,No,0,
WBGene00011477,Dead | N/A,No,0,
WBGene00011496,Suppressed | T05F1.12,No,0,
WBGene00011504,Dead | N/A,No,0,
WBGene00011525,Suppressed | T06D8.4,No,0,
WBGene00011552,Dead | N/A,No,0,
WBGene00011553,Dead | N/A,No,0,
WBGene00011555,Dead | N/A,No,0,
WBGene00011569,Suppressed | T07C12.2,No,0,
WBGene00011588,Dead | N/A,No,0,
WBGene00011598,Suppressed | T07G12.7,No,0,
WBGene00011602,Dead | N/A,No,0,
WBGene00011603,Dead | N/A,No,0,
WBGene00011632,Dead | N/A,No,0,
WBGene00011667,Suppressed | T09F5.7,No,0,
WBGene00011700,Dead | N/A,No,0,
WBGene00011711,Dead | N/A,No,0,
WBGene00011764,Dead | N/A,No,0,
WBGene00011766,Suppressed | T14C1.2,No,0,
WBGene00011769,Dead | N/A,No,0,
WBGene00011787,Dead | N/A,No,0,
WBGene00011792,Suppressed | T16A9.1,No,0,
WBGene00011825,Dead | N/A,No,0,
WBGene00011843,Suppressed | T19C9.7,No,0,
WBGene00011845,Dead | N/A,No,0,
WBGene00011861,Dead | N/A,No,0,
WBGene00011862,Dead | N/A,No,0,
WBGene00011863,Dead | N/A,No,0,
WBGene00011865,Suppressed | T20F10.4,No,0,
WBGene00011866,Dead | N/A,No,0,
WBGene00011881,Dead | N/A,No,0,
WBGene00011889,Dead | N/A,No,0,
WBGene00011901,Dead | N/A,No,0,
WBGene00011905,Dead | N/A,No,0,
WBGene00011907,Dead | N/A,No,0,
WBGene00011946,Dead | N/A,No,0,
WBGene00011987,Dead | N/A,No,0,
WBGene00011998,Dead | N/A,No,0,
WBGene00012001,Dead | N/A,No,0,
WBGene00012006,Dead | N/A,No,0,
WBGene00012071,Suppressed | T26H8.1,No,0,
WBGene00012076,Dead | N/A,No,0,
WBGene00012082,Suppressed | T27C5.9,No,0,
WBGene00012092,Suppressed | T27E7.7,No,0,
WBGene00012129,Dead | N/A,No,0,
WBGene00012141,Dead | N/A,No,0,
WBGene00012153,Dead | ,No,0,
WBGene00012154,Dead | N/A,No,0,
WBGene00012160,Dead | N/A,No,0,
WBGene00012161,Dead | N/A,No,0,
WBGene00012229,Dead | N/A,No,0,
WBGene00012262,Dead | N/A,No,0,
WBGene00012263,Suppressed | W04G5.1,No,0,
WBGene00012273,Dead | N/A,No,0,
WBGene00012327,Dead | N/A,No,0,
WBGene00012331,Dead | N/A,No,0,
WBGene00012338,Dead | N/A,No,0,
WBGene00012367,Dead | N/A,No,0,
WBGene00012380,Dead | N/A,No,0,
WBGene00012392,Suppressed | Y6B3B.8,No,0,
WBGene00012410,Dead | N/A,No,0,
WBGene00012417,Dead | N/A,No,0,
WBGene00012422,Dead | N/A,No,0,
WBGene00012427,Dead | N/A,No,0,
WBGene00012430,Suppressed | Y11D7A.6,No,0,
WBGene00012438,Dead | N/A,No,0,
WBGene00012447,Dead | N/A,No,0,
WBGene00012495,Dead | N/A,No,0,
WBGene00012506,Suppressed | Y26D4A.9,No,0,
WBGene00012507,Suppressed | Y26D4A.10,No,0,
WBGene00012508,Suppressed | Y26D4A.11,No,0,
WBGene00012510,Dead | N/A,No,0,
WBGene00012511,Suppressed | Y26D4A.14,No,0,
WBGene00012534,Suppressed | Y37A1A.1,No,0,
WBGene00012539,Dead | N/A,No,0,
WBGene00012563,Suppressed | Y37H2A.3,No,0,
WBGene00012598,Dead | N/A,No,0,
WBGene00012599,Dead | N/A,No,0,
WBGene00012601,Dead | N/A,No,0,
WBGene00012611,Dead | N/A,No,0,
WBGene00012613,Dead | N/A,No,0,
WBGene00012619,Suppressed | Y38H6C.6,No,0,
WBGene00012667,Dead | N/A,No,0,
WBGene00012677,Dead | N/A,No,0,
WBGene00012685,Dead | N/A,No,0,
